TimeS,MF1,MF2,MF3,MF4,MF5,MF6,MF7,MF8,MF9,MF10,MF11,MF12,MF13,MF14,MF15,MF16,MF17,MF18,MF19,MF20,MF21,MF22,MF23,MF24,MF25
81456,0.974407656,0.316924528,0.952879921,0.068351167,0.95445485,0.03525736,0.872232611,0.676683574,0.975433772,0.213659836,0.139484177,0.344834568,0.170241802,0.969776433,0.040235529,0.021468925,0.156475989,0.657041354,0.931900833,0.261092654,0.909376615,0.970869458,0.435885507,0.069262154,0.271365221
81476,0.974291416,0.317036608,0.952068904,0.068604419,0.954191583,0.035431585,0.871355756,0.677235309,0.975660581,0.212242797,0.139363464,0.343147345,0.169327151,0.970113804,0.040394085,0.021247347,0.156124422,0.65825356,0.932534031,0.262072926,0.908985515,0.971446348,0.435715047,0.069717403,0.269871594
81491,0.974252669,0.316961888,0.951338989,0.068528238,0.954153973,0.035431585,0.872715777,0.677454748,0.976128374,0.210921288,0.139008869,0.342118139,0.168648989,0.970629961,0.040228321,0.02097452,0.156373789,0.658946582,0.93316723,0.262442066,0.909027419,0.972156733,0.435572996,0.069897784,0.26805956
81495,0.974155801,0.317003918,0.950771277,0.068437643,0.953965926,0.035528376,0.875125638,0.67719769,0.976596167,0.209713885,0.138756125,0.340582767,0.168391634,0.971238002,0.039896794,0.020852426,0.157179123,0.658461233,0.933628179,0.262725073,0.908999483,0.972793218,0.435715047,0.069987975,0.266264893
81497,0.974058934,0.317148688,0.950365769,0.068320283,0.953702659,0.035683243,0.87857341,0.676464134,0.97706396,0.208633857,0.138635412,0.338406249,0.168544656,0.971940696,0.039408512,0.020890109,0.158552688,0.656803346,0.933945991,0.262979369,0.908964564,0.973353421,0.436144749,0.069966501,0.264522329
81516,0.973884573,0.317498938,0.949879158,0.068349108,0.953288954,0.035876827,0.881478366,0.675981366,0.977432524,0.207344192,0.138416619,0.337208321,0.168589867,0.97236912,0.039284189,0.020965476,0.15946431,0.656212994,0.934346289,0.263434642,0.909020435,0.973842109,0.436627721,0.069816183,0.262878183
81536,0.973671465,0.317858527,0.94947365,0.068517943,0.953063297,0.036109127,0.882420837,0.675718039,0.977645158,0.205958996,0.138326084,0.33545361,0.168217747,0.972730845,0.039309414,0.021007681,0.159946693,0.65598607,0.934710196,0.264295968,0.908664255,0.974283119,0.43696154,0.069889194,0.261338243
81551,0.973129008,0.319226836,0.94947365,0.069553598,0.951634134,0.037057686,0.880995201,0.675329317,0.977134838,0.204451733,0.139163533,0.331505509,0.168492489,0.972400671,0.040062558,0.021661863,0.159987573,0.655636058,0.934537947,0.266309831,0.907511908,0.974042351,0.438009162,0.070271431,0.261367189
81556,0.97341961,0.319058716,0.948905938,0.069646251,0.951746963,0.037096403,0.880028871,0.675736848,0.977333296,0.202859554,0.138873066,0.329008419,0.167271796,0.972522999,0.040021117,0.021282016,0.159129095,0.657655624,0.935134755,0.267302408,0.907679522,0.974430917,0.437426755,0.070907061,0.259908298
81569,0.974562644,0.317349498,0.947770515,0.068802079,0.953288954,0.03618656,0.87952781,0.676940632,0.978226355,0.201177151,0.13746223,0.327911725,0.164566101,0.973085652,0.0391941,0.019877183,0.157363083,0.662065184,0.93648849,0.267265494,0.909132178,0.975439282,0.43521787,0.071791788,0.257002096
81571,0.975957533,0.31504252,0.946472888,0.067566705,0.955695964,0.034889551,0.87865692,0.67872123,0.979417101,0.19939391,0.135587402,0.328080447,0.16104661,0.973833457,0.038154474,0.018003569,0.155176008,0.667759286,0.938208558,0.266838932,0.911045773,0.976824294,0.432323591,0.072732348,0.253412762
81576,0.976228762,0.3149211,0.945824074,0.067642886,0.956335327,0.034812118,0.876127758,0.679968902,0.979629735,0.197324077,0.134995153,0.328164808,0.1589843,0.973602362,0.038653567,0.017406666,0.153422261,0.672361352,0.939096491,0.267880727,0.911702261,0.977394032,0.431503249,0.073179007,0.25189019
81591,0.97644187,0.3148744,0.945256362,0.067791131,0.957087517,0.034792759,0.872811217,0.68153006,0.97977149,0.195132177,0.134429309,0.328687847,0.156706369,0.973215452,0.039358062,0.016794689,0.151333298,0.677735193,0.940013537,0.269045568,0.912435573,0.9779447,0.430636741,0.07362996,0.250477613
81595,0.976596858,0.31489775,0.944769752,0.068015557,0.957914927,0.034831476,0.868743084,0.683398434,0.979842368,0.192810249,0.133855921,0.329784542,0.154205861,0.972666914,0.040262555,0.016154073,0.148905032,0.683905894,0.940913601,0.270276035,0.913196821,0.978485832,0.429738272,0.074110977,0.249157664
81597,0.976906833,0.314729631,0.944283142,0.068007322,0.958930385,0.034773401,0.866184098,0.684903164,0.980097528,0.19053874,0.133033562,0.331387403,0.151754042,0.972254542,0.040842728,0.015469745,0.146934621,0.690062594,0.941888872,0.27105533,0.914314249,0.979174762,0.428722611,0.074531867,0.247507729
81616,0.976073774,0.316747068,0.944688651,0.06919328,0.958027756,0.035992977,0.863583356,0.685153953,0.979402926,0.188200891,0.133493781,0.332264759,0.151173256,0.971081633,0.042603066,0.016233962,0.146276454,0.693878301,0.941901003,0.272970756,0.914020924,0.979057954,0.429954899,0.074424498,0.247698774
81636,0.97549257,0.318260147,0.945175261,0.070253643,0.957275565,0.037135119,0.86052331,0.684972131,0.978722499,0.186115136,0.133987951,0.330931853,0.150390761,0.970198215,0.043725575,0.016864027,0.145724576,0.696974152,0.941801535,0.27488208,0.913259676,0.978960216,0.43063319,0.074879746,0.247681406
81656,0.975802546,0.317662387,0.945337464,0.069856264,0.958817556,0.037096403,0.859807509,0.685254268,0.979161941,0.184323934,0.13306374,0.331657359,0.148071096,0.970466673,0.043251707,0.016259587,0.145336217,0.701137945,0.94256574,0.275001025,0.913692679,0.979987652,0.429386697,0.075489607,0.245163083
81676,0.974737005,0.319315566,0.946391786,0.070990749,0.958253413,0.038451487,0.856926413,0.683799695,0.978353935,0.182580498,0.133765386,0.329430225,0.147573777,0.970037418,0.043968815,0.017304167,0.146166079,0.701636887,0.94196408,0.277014889,0.911541631,0.979956662,0.430476935,0.075790242,0.24464784
81691,0.974562644,0.319731195,0.947283905,0.071237824,0.958591899,0.039167746,0.856777288,0.682439168,0.978226355,0.180988319,0.133569227,0.327776747,0.14649915,0.970110483,0.043586838,0.017602619,0.147032733,0.703237664,0.942000471,0.277790082,0.910668641,0.980450117,0.430320679,0.076477409,0.243061586
81695,0.973613344,0.321393713,0.948743735,0.071966694,0.958027756,0.040619622,0.857582563,0.680338815,0.977744386,0.179465134,0.13405208,0.326629435,0.146579138,0.969960202,0.043696746,0.018705986,0.149227983,0.703092059,0.941590469,0.27884008,0.908880756,0.980750481,0.431478391,0.076752276,0.24226267
