MF1,MF2,MF3,MF4,MF5,MF6,MF7,MF8,MF9,MF10,MF11,MF12,MF13,MF14,MF15,MF16,MF17,MF18,MF19,MF20,MF21,MF22,MF23,MF24,MF25
-6.2088,-1.1502,-1.6468,-4.2804,-0.15553,-2.3425,-1.1123,1.8737,0.7332,-1.1519,-2.218,4.0384,0.64242,0.65356,1.9099,-0.60797,1.0059,-0.010155,1.2916,0.26109,-0.87854,-0.010928,0.52065,-0.47782,-0.75072
-6.207,-1.1497,-1.6418,-4.2778,-0.15647,-2.344,-1.1063,1.876,0.73507,-1.1483,-2.216,4.0379,0.64014,0.65072,1.9055,-0.60768,1.0029,-0.014109,1.2898,0.25825,-0.87775,-0.0092803,0.51838,-0.48291,-0.75085
-6.2052,-1.1496,-1.6373,-4.2742,-0.15779,-2.3452,-1.1012,1.8783,0.73716,-1.1445,-2.2137,4.0373,0.63797,0.64786,1.9008,-0.60766,0.99928,-0.017856,1.2887,0.25521,-0.87713,-0.007355,0.51673,-0.48802,-0.75051
-6.1989,-1.1509,-1.6377,-4.2673,-0.1579,-2.3453,-1.0987,1.8784,0.7389,-1.1425,-2.2095,4.0368,0.63848,0.64353,1.8959,-0.60764,0.99583,-0.018593,1.2865,0.24846,-0.87576,-0.0054267,0.51526,-0.49313,-0.74731
-6.1945,-1.1514,-1.6367,-4.2594,-0.15973,-2.3462,-1.0946,1.8808,0.74231,-1.1391,-2.2059,4.0372,0.63746,0.64007,1.8896,-0.60822,0.99175,-0.02034,1.2853,0.24297,-0.87475,-0.0032965,0.5143,-0.49733,-0.74503
-6.1939,-1.1489,-1.6357,-4.2545,-0.16227,-2.3471,-1.0906,1.8829,0.74396,-1.1362,-2.203,4.0364,0.63746,0.63473,1.8831,-0.60689,0.98798,-0.023305,1.2844,0.241,-0.87443,-0.001248,0.51233,-0.50105,-0.74282
-6.193,-1.1472,-1.6315,-4.2501,-0.16467,-2.3489,-1.0842,1.8861,0.74727,-1.1324,-2.2012,4.0363,0.63584,0.63134,1.8774,-0.60672,0.98439,-0.027238,1.2828,0.2388,-0.87387,4.80E-06,0.51051,-0.50521,-0.74219
-6.1891,-1.148,-1.6282,-4.2462,-0.16455,-2.3502,-1.0804,1.8866,0.74886,-1.13,-2.198,4.0355,0.63544,0.62815,1.8737,-0.60662,0.98205,-0.029772,1.2799,0.234,-0.87221,0.0011405,0.50807,-0.51076,-0.74014
-6.1945,-1.145,-1.6189,-4.2485,-0.16606,-2.353,-1.0757,1.889,0.74828,-1.1269,-2.197,4.0329,0.63287,0.62539,1.8707,-0.60477,0.98024,-0.037142,1.2788,0.23631,-0.87141,0.0022654,0.50435,-0.51623,-0.74101
-6.196,-1.1443,-1.6124,-4.2486,-0.16617,-2.3549,-1.0726,1.8895,0.74765,-1.1246,-2.1944,4.0306,0.63158,0.6225,1.8681,-0.60359,0.97878,-0.042121,1.2772,0.23527,-0.87004,0.0035982,0.50083,-0.52208,-0.73999
-6.1937,-1.1457,-1.6085,-4.2465,-0.16473,-2.3558,-1.071,1.888,0.74726,-1.1228,-2.1903,4.0286,0.63147,0.61953,1.8662,-0.60274,0.97782,-0.044662,1.2751,0.2306,-0.86813,0.005338,0.49732,-0.52835,-0.73707
-6.197,-1.145,-1.6029,-4.2456,-0.16512,-2.3573,-1.069,1.8885,0.7462,-1.1197,-2.1866,4.026,0.62895,0.61733,1.8628,-0.60081,0.97685,-0.04958,1.2763,0.22896,-0.86733,0.0087109,0.49372,-0.53347,-0.73519
-6.2021,-1.1426,-1.5977,-4.2446,-0.16607,-2.3588,-1.0668,1.8889,0.74586,-1.117,-2.1837,4.0231,0.62776,0.61344,1.8593,-0.59808,0.97527,-0.054295,1.2775,0.22848,-0.86716,0.011591,0.49,-0.53845,-0.73273
-6.2033,-1.1417,-1.5931,-4.2412,-0.16636,-2.3603,-1.0626,1.8897,0.74792,-1.1134,-2.1804,4.0216,0.62551,0.61126,1.8552,-0.59595,0.97378,-0.057848,1.2784,0.2245,-0.8671,0.014706,0.48704,-0.54276,-0.7302
